PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step  62200/80000  loss=0.0393  p=0.00505  7.6 s/s  ETA 39min
step  62400/80000  loss=0.0487  p=0.00508  7.6 s/s  ETA 39min
step  62600/80000  loss=0.0374  p=0.00510  7.6 s/s  ETA 38min
step  62800/80000  loss=0.0380  p=0.00512  7.6 s/s  ETA 38min
step  63000/80000  loss=0.0445  p=0.00514  7.6 s/s  ETA 37min
step  63200/80000  loss=0.0551  p=0.00516  7.6 s/s  ETA 37min
step  63400/80000  loss=0.0774  p=0.00518  7.6 s/s  ETA 36min
step  63600/80000  loss=0.0536  p=0.00521  7.6 s/s  ETA 36min
step  63800/80000  loss=0.0498  p=0.00523  7.6 s/s  ETA 35min
step  64000/80000  loss=0.0497  p=0.00525  7.6 s/s  ETA 35min
  >>> LER @ p=0.007: 0.05810
  >>> saved (ler=0.05810)
step  64200/80000  loss=0.0828  p=0.00527  7.6 s/s  ETA 35min
step  64400/80000  loss=0.0355  p=0.00529  7.6 s/s  ETA 34min
step  64600/80000  loss=0.0511  p=0.00532  7.6 s/s  ETA 34min
step  64800/80000  loss=0.0221  p=0.00534  7.6 s/s  ETA 33min
step  65000/80000  loss=0.1006  p=0.00536  7.6 s/s  ETA 33min
step  65200/80000  loss=0.0362  p=0.00538  7.6 s/s  ETA 32min
step  65400/80000  loss=0.0548  p=0.00540  7.6 s/s  ETA 32min
step  65600/80000  loss=0.0377  p=0.00542  7.6 s/s  ETA 32min
step  65800/80000  loss=0.0524  p=0.00545  7.6 s/s  ETA 31min
step  66000/80000  loss=0.0668  p=0.00547  7.6 s/s  ETA 31min
step  66200/80000  loss=0.0615  p=0.00549  7.6 s/s  ETA 30min
step  66400/80000  loss=0.0591  p=0.00551  7.6 s/s  ETA 30min
step  66600/80000  loss=0.0601  p=0.00553  7.6 s/s  ETA 29min
step  66800/80000  loss=0.0599  p=0.00556  7.6 s/s  ETA 29min
step  67000/80000  loss=0.0708  p=0.00558  7.6 s/s  ETA 28min
